chroma_cens0,chroma_cens1,chroma_cens2,chroma_cens3,chroma_cens4,chroma_cens5,chroma_cens6,chroma_cens7,chroma_cens8,chroma_cens9,chroma_cens10,chroma_cens11,chroma_cens_max,chrom_stft0,chrom_stft1,chrom_stft2,chrom_stft3,chrom_stft4,chrom_stft5,chrom_stft6,chrom_stft7,chrom_stft8,chrom_stft9,chrom_stft10,chrom_stft11,chrom_cqt0,chrom_cqt1,chrom_cqt2,chrom_cqt3,chrom_cqt4,chrom_cqt5,chrom_cqt6,chrom_cqt7,chrom_cqt8,chrom_cqt9,chrom_cqt10,chrom_cqt11,spect_flatness_avg,zcr,Composer
0.2192647288736352,0.24656658042282228,0.27574769731473076,0.2618042505269073,0.21368639858253544,0.20220661054972394,0.27828140384294087,0.27871198884117276,0.1905638481959398,0.17237940139283262,0.1861388205368806,0.20666297553854135,0.6971407077838843,0.13326803,0.12993391,0.30632773,0.13019845,0.24716349,0.12691103,0.24130684,0.2758485,0.11337153,0.2544431,0.11897488,0.20810325,0.39472171830704805,0.39073104738030806,0.4744169185076959,0.41179056940386916,0.4073476976167037,0.35672258490939357,0.46696277866248975,0.4680855546983771,0.3347663562797214,0.33532381348757984,0.3374312560257943,0.3829041078351539,2.7204831e-05,0.04463411760440835,2
0.29530562607079486,0.20419159589194402,0.21866069409766115,0.22779094326995694,0.23314157076582978,0.20297361574978362,0.23837547842873896,0.2580335341254111,0.17181850266783197,0.14031306401562482,0.21914818502934683,0.29873796458398294,0.6946308220960896,0.1976329,0.21068986,0.23917411,0.15256535,0.27506456,0.14860503,0.2770497,0.2802282,0.112462886,0.1998091,0.14814208,0.34702116,0.45631865607445116,0.36485976955090127,0.38732419966398274,0.3805077916405032,0.4250965543368736,0.3409510978616277,0.412435785654535,0.4430728709655227,0.3030282996640284,0.2794955471034501,0.3547013158225428,0.4876507302670919,1.6749362e-05,0.0414568907700116,2
0.29512628153115306,0.3140494600339438,0.3078777337218428,0.213528911370575,0.11139139621829502,0.1476862857484434,0.23895638644870115,0.25349934885076747,0.2231945121308846,0.2162729760668766,0.23226777753699313,0.1895296191881436,0.7005783132748161,0.10772542,0.28933826,0.33046058,0.10105717,0.14828861,0.059499852,0.14816605,0.22103423,0.10812109,0.2761758,0.11131059,0.18958631,0.4605222982663929,0.4956555863303843,0.5133088361869041,0.34891776729194957,0.27349029240175465,0.27415382433894525,0.39814185601498187,0.41738661986341374,0.35312688247547,0.3890746101902818,0.37002920085001995,0.3566831317373106,3.208799e-05,0.046215083925464036,2
0.25019661149413197,0.25078128093682645,0.2618327953860301,0.2757045140770416,0.25153870531179834,0.2274310629314546,0.2692441738467571,0.26223394915733855,0.191479888931141,0.1726618916341848,0.16205878610307375,0.19800940090405028,0.7088318835855629,0.21122041,0.15516813,0.31423387,0.15083048,0.29507312,0.15714133,0.30654404,0.29867297,0.1251673,0.23607172,0.10936974,0.18900782,0.43334492720809964,0.391546896514214,0.45810338311527193,0.42035001619532686,0.4501862378484653,0.3813321439842181,0.45181654679749805,0.4531096763222496,0.331046171500164,0.34185239254071903,0.30999651744642565,0.3552407761948462,1.8247603e-05,0.042110575877320186,2
0.24992798122295087,0.2224046467596567,0.22525874858266778,0.22136098506195784,0.22331343248433866,0.2005988849701444,0.25003723741545897,0.26461210506147215,0.19624294412471535,0.1837461678959417,0.23696167908266771,0.25736173149687647,0.7001708791043336,0.1261959,0.22434513,0.23560278,0.12885362,0.24239106,0.11815358,0.23585701,0.24786942,0.11105405,0.24226503,0.14227948,0.3204328,0.3906764236382146,0.3665463941877794,0.3861988355578262,0.3470483742215929,0.3879850862315861,0.3290074522738126,0.4102359498460271,0.443085190716341,0.32749498209492184,0.3278604341392588,0.3636778844036109,0.4268172711329479,1.5356036e-05,0.0453138594837587,2
0.3249292694166524,0.29543079396519095,0.29165294924319624,0.2487329654388824,0.16586218001541383,0.12119394244741745,0.15432560798689351,0.19052896183073262,0.1830401059320844,0.20516147163242027,0.24650968729496586,0.2629805431160965,0.695779087586437,0.16388941,0.27324796,0.32481387,0.15408768,0.21206869,0.06533687,0.12856182,0.17357859,0.09479676,0.26224798,0.12752828,0.24136344,0.5031023952397553,0.4767615114371117,0.4973022749894983,0.39208150657567536,0.3324885844149526,0.2567467322467024,0.30302858135310246,0.33973080113595683,0.31909194125343726,0.38257577393640224,0.3929184220244584,0.459254760543841,2.420733e-05,0.044708889211136894,2
0.2950173534215898,0.13277416736857303,0.13219709093618753,0.23878768837545183,0.2819685209918591,0.20524894172188915,0.25603412098909145,0.2572972684031598,0.17706024911502904,0.19220033553777058,0.23804298631021656,0.31619450506163216,0.6980278785098939,0.19705075,0.12112405,0.13856149,0.25034603,0.35460767,0.14773427,0.31874195,0.27892378,0.12537882,0.22385974,0.17925976,0.3428368,0.4553133778350341,0.2636599786275321,0.27387214655318093,0.4006834856900076,0.46550118505567967,0.35249978361939427,0.42383847161445937,0.44051818773968177,0.31956794228005914,0.3615370466457455,0.3847776288136758,0.5106292441706513,1.55465e-05,0.04483407500725058,2
0.3276935044552788,0.22266347789606322,0.19348569297851909,0.21874316735601892,0.20907871474271666,0.18351399576084731,0.2066498383392088,0.22743030586894694,0.23416912586195826,0.2635491068042051,0.2484796092028045,0.3112415228135895,0.6544428644634162,0.36078802,0.13469473,0.21976964,0.12203102,0.20329385,0.12925056,0.1465028,0.18817964,0.13993903,0.33940065,0.15562062,0.33719006,0.5125152237437178,0.3598938791283685,0.3554569105063843,0.3561661998139256,0.39073182030888004,0.3292790239909898,0.36721238020379654,0.3926662132911136,0.3721256646959121,0.4482446531125622,0.38441090158633956,0.48520669804083066,1.1185575e-05,0.04216438877610209,2
0.3396271170598283,0.1626673420658384,0.1957390929523732,0.20528187605970757,0.17127856257660307,0.14307001906008965,0.2259480734162972,0.27529396471644735,0.2224449230367383,0.2047372997210384,0.29688740753192117,0.3557011218469542,0.6893766513723669,0.18719293,0.09649766,0.20033208,0.17631403,0.24085492,0.089754835,0.22071245,0.31648016,0.14006996,0.29025948,0.19382362,0.4087808,0.5211989148284699,0.30901864942181423,0.37153120369510384,0.37055685322470794,0.34400968463143805,0.2825863736752169,0.399202866941289,0.4811776569354459,0.37258081694605216,0.39362210879644194,0.45325280782039795,0.578965534770743,1.8656297e-05,0.03989178509280743,2
0.34193164111343216,0.16602730130282642,0.12057948894144178,0.24350806939369157,0.2868091232371393,0.20736582615300264,0.18263310235486863,0.18579047906549978,0.16070889371555339,0.19348793243364198,0.2518857187095889,0.33062481635664137,0.6968925537945564,0.25186992,0.1316804,0.15525188,0.24329948,0.34705815,0.14810844,0.25239238,0.21713604,0.13000906,0.2586886,0.18731116,0.37061375,0.506140804599682,0.29470376389746605,0.2641433458443962,0.3826013839330867,0.4614311784503832,0.3363753416543392,0.3375627448529185,0.34224312377987215,0.2974616172717782,0.35287831114300217,0.38486200002761034,0.5179842664415165,1.3134242e-05,0.041470485607598605,2
